unq_id,n
1199,le10
1200,le10
1201,le10
1202,12
1203,le10
1204,le10
1205,le10
1206,12
1207,le10
1208,le10
1209,le10
1210,le10
1211,le10
1212,12
1213,le10
1214,le10
1215,le10
1216,le10
1217,le10
1218,14
1219,le10
1220,le10
1221,le10
1222,le10
1223,le10
1224,le10
1225,le10
1226,le10
1227,le10
1228,le10
1229,le10
1230,le10
1231,le10
1232,le10
1233,le10
1234,le10
1235,le10
1236,le10
1237,le10
1238,le10
1239,le10
1240,le10
1241,le10
1242,19
1243,le10
1244,le10
1245,le10
1246,le10
1247,le10
1248,le10
1249,le10
1250,le10
1251,le10
1252,le10
1253,le10
1254,le10
1255,le10
1256,25
1257,le10
1258,le10
1259,le10
1260,le10
1261,le10
1262,le10
1263,le10
1264,le10
1265,le10
1266,le10
1267,le10
1268,le10
1269,le10
1270,le10
1271,16
1272,le10
