gndr,ethnic,insulin,noninsulin,metformin,hf,cardio,cerebr,periph,cursmok,unq_id
male,white,0,0,0,1,1,0,0,0,224
male,white,0,0,0,1,0,0,1,0,225
male,white,0,0,0,1,0,1,0,0,226
female,white,0,1,1,1,0,1,0,1,227
female,white,0,1,1,1,0,0,1,1,228
female,white,0,1,1,1,1,0,0,1,229
male,white,1,0,0,1,0,0,0,0,230
female,asian,1,1,0,0,0,0,0,1,231
female,white,1,1,1,1,0,0,0,1,232
male,asian,0,1,0,0,0,0,0,0,233
female,NA,0,1,1,1,1,0,0,0,234
female,other,0,1,1,0,0,0,1,1,235
female,other,0,1,1,0,1,0,0,1,236
female,other,0,1,1,0,0,1,0,1,237
female,white,1,1,0,0,0,0,0,0,238
male,white,0,1,1,1,1,0,0,1,239
male,white,0,1,1,1,0,0,1,1,240
male,white,0,1,1,1,0,1,0,1,241
male,white,1,0,0,1,1,0,0,0,242
male,white,1,0,0,1,0,1,0,0,243
male,white,1,0,0,1,0,0,1,0,244
NA,white,1,1,1,0,1,0,0,0,245
NA,white,1,1,1,0,0,0,1,0,246
NA,white,1,1,1,0,0,1,0,0,247
male,white,1,1,1,1,0,0,1,1,248
male,white,1,1,1,1,0,1,0,1,249
male,white,1,1,1,1,1,0,0,1,250
female,other,0,1,0,0,1,0,0,0,251
female,other,0,1,0,0,0,1,0,0,252
female,other,0,1,0,0,0,0,1,0,253
female,asian,0,0,0,0,0,0,0,1,254
male,white,0,0,0,0,0,1,0,0,255
male,white,0,0,0,0,1,0,0,0,256
male,white,0,0,0,0,0,0,1,0,257
male,white,0,1,0,0,0,0,0,1,258
male,white,0,1,0,1,0,0,1,1,259
male,white,0,1,0,1,1,0,0,1,260
male,white,0,1,0,1,0,1,0,1,261
NA,white,0,1,1,1,0,0,0,0,262
female,white,1,1,0,0,0,0,0,1,263
NA,white,1,1,0,1,0,0,0,0,264
female,white,0,0,0,1,0,1,0,1,265
female,white,0,0,0,1,1,0,0,1,266
female,white,0,0,0,1,0,0,1,1,267
female,asian,0,1,0,1,1,0,0,0,268
female,asian,0,1,0,1,0,1,0,0,269
female,asian,0,1,0,1,0,0,1,0,270
NA,other,1,1,0,0,0,0,0,1,271
male,black,1,1,1,0,0,0,1,1,272
male,black,1,1,1,0,1,0,0,1,273
male,black,1,1,1,0,0,1,0,1,274
female,other,0,0,0,0,0,0,0,1,275
male,asian,0,1,1,1,0,0,0,1,276
female,other,0,1,1,0,0,0,0,1,277
NA,white,1,1,1,1,0,0,0,0,278
female,white,0,1,1,1,0,0,0,1,279
female,other,1,1,1,0,0,0,0,1,280
male,NA,0,1,1,1,1,0,0,0,281
male,NA,0,1,1,1,0,1,0,0,282
male,NA,0,1,1,1,0,0,1,0,283
female,NA,0,0,0,0,1,0,0,0,284
female,NA,0,0,0,0,0,0,1,0,285
female,NA,0,0,0,0,0,1,0,0,286
female,asian,0,0,0,1,0,0,0,0,287
male,other,0,1,1,1,0,0,0,0,288
female,black,1,1,1,1,0,0,0,0,289
female,asian,0,0,0,0,1,0,0,0,290
female,asian,0,0,0,0,0,1,0,0,291
female,asian,0,0,0,0,0,0,1,0,292
male,asian,1,0,0,1,0,0,1,0,293
male,asian,1,0,0,1,1,0,0,0,294
male,asian,1,0,0,1,0,1,0,0,295
female,NA,0,1,1,0,1,0,0,0,296
female,NA,0,1,1,0,0,0,1,0,297
female,NA,0,1,1,0,0,1,0,0,298
female,black,0,1,0,1,1,0,0,0,299
female,black,0,1,0,1,0,0,1,0,300
female,black,0,1,0,1,0,1,0,0,301
female,asian,0,1,1,1,0,0,0,1,302
female,other,0,0,0,1,0,0,1,0,303
female,other,0,0,0,1,1,0,0,0,304
female,other,0,0,0,1,0,1,0,0,305
NA,white,1,1,1,0,0,0,0,0,306
female,other,1,1,1,0,0,0,0,0,307
male,NA,0,0,0,1,0,0,1,1,308
male,NA,0,0,0,1,0,1,0,1,309
male,NA,0,0,0,1,1,0,0,1,310
male,white,1,1,1,0,0,1,0,1,311
male,white,1,1,1,0,1,0,0,1,312
male,white,1,1,1,0,0,0,1,1,313
female,other,1,1,1,0,1,0,0,0,314
female,other,1,1,1,0,0,0,1,0,315
female,other,1,1,1,0,0,1,0,0,316
female,other,0,1,0,0,0,0,0,0,317
female,asian,1,1,1,1,0,0,1,1,318
female,asian,1,1,1,1,1,0,0,1,319
female,asian,1,1,1,1,0,1,0,1,320
male,asian,0,0,0,0,1,0,0,0,321
male,asian,0,0,0,0,0,1,0,0,322
male,asian,0,0,0,0,0,0,1,0,323
male,white,1,0,0,0,1,0,0,0,324
male,white,1,0,0,0,0,1,0,0,325
male,white,1,0,0,0,0,0,1,0,326
male,black,0,1,1,0,1,0,0,1,327
male,black,0,1,1,0,0,0,1,1,328
male,black,0,1,1,0,0,1,0,1,329
male,NA,0,1,1,0,0,0,0,1,330
male,white,1,1,1,1,0,1,0,0,331
male,white,1,1,1,1,0,0,1,0,332
male,white,1,1,1,1,1,0,0,0,333
male,asian,0,0,0,0,0,0,0,1,334
male,black,1,1,0,0,0,0,0,0,335
male,asian,0,1,0,0,0,0,0,1,336
male,asian,0,1,0,1,0,0,0,0,337
male,other,0,1,1,0,0,0,0,1,338
female,asian,1,0,0,0,1,0,0,0,339
female,asian,1,0,0,0,0,0,1,0,340
female,asian,1,0,0,0,0,1,0,0,341
male,black,0,0,0,1,1,0,0,1,342
male,black,0,0,0,1,0,0,1,1,343
male,black,0,0,0,1,0,1,0,1,344
female,asian,1,0,0,0,0,0,0,1,345
male,NA,1,1,1,1,1,0,0,0,346
male,NA,1,1,1,1,0,0,1,0,347
NA,white,0,0,0,1,0,0,1,0,348
NA,white,0,0,0,1,1,0,0,0,349
NA,white,0,0,0,1,0,1,0,0,350
female,black,1,1,1,0,1,0,0,1,351
female,black,1,1,1,0,0,0,1,1,352
female,black,1,1,1,0,0,1,0,1,353
male,black,0,1,0,0,0,0,0,1,354
male,other,0,1,1,0,0,0,1,0,355
male,other,0,1,1,0,0,1,0,0,356
male,other,0,1,1,0,1,0,0,0,357
female,asian,1,1,1,0,1,0,0,1,358
female,asian,1,1,1,0,0,1,0,1,359
female,asian,1,1,1,0,0,0,1,1,360
NA,white,1,1,1,1,0,0,0,1,361
female,black,1,0,0,0,0,0,0,0,362
female,black,1,0,0,0,0,1,0,0,363
female,black,1,0,0,0,0,0,1,0,364
female,black,1,0,0,0,1,0,0,0,365
male,black,0,1,0,0,0,0,1,0,366
male,black,0,1,0,0,1,0,0,0,367
male,black,0,1,0,0,0,1,0,0,368
male,black,1,0,0,1,0,0,0,1,369
female,asian,1,0,0,1,1,0,0,0,370
female,asian,1,0,0,1,0,0,1,0,371
female,asian,1,0,0,1,0,1,0,0,372
male,asian,0,0,0,1,0,0,0,1,373
NA,white,0,1,1,1,0,0,0,1,374
female,white,1,0,0,1,0,0,0,1,375
male,asian,1,1,1,1,1,0,0,0,376
male,asian,1,1,1,1,0,1,0,0,377
male,asian,1,1,1,1,0,0,1,0,378
male,asian,0,0,0,1,0,0,0,0,379
male,other,1,1,1,0,0,0,0,1,380
male,black,0,1,1,1,0,1,0,0,381
male,black,0,1,1,1,0,0,1,0,382
male,black,0,1,1,1,1,0,0,0,383
NA,white,1,1,0,0,0,0,1,0,384
NA,white,1,1,0,0,0,1,0,0,385
NA,white,1,1,0,0,1,0,0,0,386
female,black,0,1,0,0,0,1,0,0,387
female,black,0,1,0,0,0,0,1,0,388
female,black,0,1,0,0,1,0,0,0,389
female,asian,0,0,0,1,0,1,0,1,390
female,asian,0,0,0,1,0,0,1,1,391
female,asian,0,0,0,1,1,0,0,1,392
female,black,0,1,0,0,0,0,0,0,393
female,asian,0,1,1,1,0,0,0,0,394
male,NA,0,1,1,0,1,0,0,1,395
male,NA,0,1,1,0,0,1,0,1,396
NA,white,1,1,0,0,0,0,0,0,397
NA,asian,1,1,1,0,0,0,0,0,398
NA,white,0,1,0,0,0,0,0,1,399
male,NA,1,1,0,0,0,0,0,1,400
male,other,0,1,1,0,1,0,0,1,401
male,other,0,1,1,0,0,0,1,1,402
male,other,0,1,1,0,0,1,0,1,403
NA,white,0,0,0,1,0,0,0,0,404
male,asian,0,1,1,1,0,0,0,0,405
NA,NA,0,1,0,0,1,0,0,0,406
male,asian,0,1,0,1,1,0,0,0,407
male,asian,0,1,0,1,0,0,1,0,408
male,asian,0,1,0,1,0,1,0,0,409
female,white,0,1,0,1,0,0,0,1,410
male,other,1,0,0,0,0,0,0,1,411
male,white,0,1,1,0,1,0,0,1,412
male,white,0,1,1,0,0,0,1,1,413
male,white,0,1,1,0,0,1,0,1,414
female,asian,0,1,1,1,0,0,1,1,415
female,asian,0,1,1,1,0,1,0,1,416
female,asian,0,1,1,1,1,0,0,1,417
male,black,1,0,0,0,1,0,0,1,418
male,black,1,0,0,0,0,0,1,1,419
male,black,1,0,0,0,0,1,0,1,420
female,black,0,1,0,1,0,0,0,0,421
